"gridg0","group.id","month","timegroups"
"294658","S91228430",1,"before 2000"
"294658","S93093945",1,"before 2000"
"294658","S93093366",1,"before 2000"
"294658","S91230123",1,"before 2000"
"294658","S93497845",1,"before 2000"
"294658","S22962389",1,"before 2000"
"294658","S22904019",1,"before 2000"
"294658","S22892174",1,"before 2000"
"294658","S22967103",1,"before 2000"
"294658","S24958148",1,"before 2000"
"294658","S130195579",2,"before 2000"
"294658","S130195181",2,"before 2000"
"294658","S130150738",2,"before 2000"
"294658","S22394178",2,"before 2000"
"294658","S61060837",2,"before 2000"
"294658","S130111550",2,"before 2000"
"294658","S67453908",2,"before 2000"
"294658","S24239543",2,"before 2000"
"294658","S24254683",2,"before 2000"
"294658","S130197959",2,"before 2000"
"294658","S24254723",2,"before 2000"
"294658","S22981250",2,"before 2000"
"289698","S79021718",2,"before 2000"
"289698","S79015790",2,"before 2000"
"292297","S78984888",2,"before 2000"
"294658","S22394319",3,"before 2000"
"294658","S22982038",3,"before 2000"
