"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"292",27,"Red Junglefowl","2020",2020,-3.48138278881838,0.0783752408480686
"293",27,"Red Junglefowl","2021",2021,-3.40301555628538,0.0717118628680774
"294",27,"Red Junglefowl","2022",2022,-3.2913510475021,0.0732510239765416
"295",28,"Red Junglefowl","before 2000",1992,-3.36934958930584,0.110108931909763
"296",28,"Red Junglefowl","2000-2006",2003,-3.68073236049215,0.079546599431077
"297",28,"Red Junglefowl","2007-2010",2009,-3.48343794420429,0.0738282986881624
"298",28,"Red Junglefowl","2011-2012",2012,-3.34501436297594,0.0828076555744338
"299",28,"Red Junglefowl","2013",2013,-3.44507400829925,0.0929984300842873
"300",28,"Red Junglefowl","2014",2014,-3.14717946241917,0.0991978112644293
"301",28,"Red Junglefowl","2015",2015,-3.1853988053676,0.0730825559756282
"302",28,"Red Junglefowl","2016",2016,-3.40333404020947,0.0686645223091872
"303",28,"Red Junglefowl","2017",2017,-3.43192915318669,0.0798285814522194
"304",28,"Red Junglefowl","2018",2018,-3.54125278128955,0.106692972236549
"305",28,"Red Junglefowl","2019",2019,-3.29145503669283,0.0680626263802174
"306",28,"Red Junglefowl","2020",2020,-3.47723192259404,0.0737746233338544
"307",28,"Red Junglefowl","2021",2021,-3.18560354805298,0.107181098279383
"308",28,"Red Junglefowl","2022",2022,-3.11886836405259,0.104095140645055
"309",29,"Red Junglefowl","before 2000",1992,-3.3495431965601,0.119163739567341
"310",29,"Red Junglefowl","2000-2006",2003,-3.39718730695619,0.0737347405199247
"311",29,"Red Junglefowl","2007-2010",2009,-3.47369134648845,0.0754748705870897
"312",29,"Red Junglefowl","2011-2012",2012,-3.17911223353543,0.077046295486928
"313",29,"Red Junglefowl","2013",2013,-3.13987074987325,0.101022468659082
"314",29,"Red Junglefowl","2014",2014,-3.47799006237842,0.0777233303935395
"315",29,"Red Junglefowl","2015",2015,-3.42920999460505,0.0760907294103322
"316",29,"Red Junglefowl","2016",2016,-3.18822551709002,0.103699338105051
"317",29,"Red Junglefowl","2017",2017,-3.52076099474804,0.110333500724769
"318",29,"Red Junglefowl","2018",2018,-3.43696447675414,0.100158189368375
"319",29,"Red Junglefowl","2019",2019,-3.12197194491313,0.106114024529293
"320",29,"Red Junglefowl","2020",2020,-3.28730059686917,0.0720598154338262
"321",29,"Red Junglefowl","2021",2021,-3.33958464121029,0.0834128602109463
"322",29,"Red Junglefowl","2022",2022,-3.67308036122938,0.0789392595403516
"323",3,"Red Junglefowl","before 2000",1992,-3.38676715156128,0.104842231133338
"324",3,"Red Junglefowl","2000-2006",2003,-3.40149798043894,0.0744082797279211
"325",3,"Red Junglefowl","2007-2010",2009,-3.4896805953555,0.0777290111440576
"326",3,"Red Junglefowl","2011-2012",2012,-3.19530422166607,0.0786283961455915
"327",3,"Red Junglefowl","2013",2013,-3.09678327710051,0.104803563638282
"328",3,"Red Junglefowl","2014",2014,-3.48783364478034,0.0758573670922563
"329",3,"Red Junglefowl","2015",2015,-3.45446550094626,0.0760271672087909
"330",3,"Red Junglefowl","2016",2016,-3.18256386664358,0.10190800500285
"331",3,"Red Junglefowl","2017",2017,-3.49207655790136,0.110522764057408
"332",3,"Red Junglefowl","2018",2018,-3.4798635659146,0.0892568521437818
"333",3,"Red Junglefowl","2019",2019,-3.10632132422256,0.0966309913766167
"334",3,"Red Junglefowl","2020",2020,-3.30422521962895,0.0753267505458396
"335",3,"Red Junglefowl","2021",2021,-3.33596911814922,0.0850697461678273
"336",3,"Red Junglefowl","2022",2022,-3.68268407431811,0.0831666674539896
"337",30,"Red Junglefowl","before 2000",1992,-3.36362838292495,0.104614333559039
"338",30,"Red Junglefowl","2000-2006",2003,-3.19203648278079,0.110108568292133
"339",30,"Red Junglefowl","2007-2010",2009,-3.28992775168961,0.073074445660222
"340",30,"Red Junglefowl","2011-2012",2012,-3.43294667820605,0.07904783561913
"341",30,"Red Junglefowl","2013",2013,-3.48056770443758,0.0746781348026444
"342",30,"Red Junglefowl","2014",2014,-3.47669277769945,0.0765117812055954
"343",30,"Red Junglefowl","2015",2015,-3.52761459851049,0.104920686504366
"344",30,"Red Junglefowl","2016",2016,-3.34944744542917,0.0848404476656435
"345",30,"Red Junglefowl","2017",2017,-3.44752182269513,0.0962978432036734
"346",30,"Red Junglefowl","2018",2018,-3.14172788027365,0.108583134508804
"347",30,"Red Junglefowl","2019",2019,-3.68021197590195,0.0817137517461101
"348",30,"Red Junglefowl","2020",2020,-3.11097524263329,0.102367702825391
"349",30,"Red Junglefowl","2021",2021,-3.18496992343379,0.0722502721756345
"350",30,"Red Junglefowl","2022",2022,-3.40596634163098,0.0721656001541807
